snr,E,eta,a1,a2,a3,potenciaEspiao,ataquePresente
-10,1.07896826736204,21.492247223320522,191.3848827679235,168.86218414708986,154.49217183137134,0.0,0
-10,1.085941730233793,21.492247223320522,186.14723716741864,162.84036892866533,145.7704291979967,0.0,0
-10,1.149995802990458,21.492247223320522,190.47045770235937,174.95123172874062,161.26104448611335,0.0,0
-10,1.0527047555098814,21.492247223320522,221.79377564714684,189.05800246575464,153.14402590099743,0.0,0
-10,1.1574862581652288,21.492247223320522,220.0649510320659,158.8608943276281,136.3909963364883,0.0,0
-10,1.1878047267018783,21.492247223320522,200.4942115755554,178.41302398782165,153.00647469233508,0.0,0
-10,1.0319311285576338,21.492247223320522,194.65309540814977,169.0573817929155,147.6029378083245,0.0,0
-10,0.960887341604135,21.492247223320522,206.32877519075626,179.36821156250357,155.41747473486973,0.0,0
-10,1.084111205137202,21.492247223320522,197.74211860336078,163.06865718611115,153.61544799213362,0.0,0
-10,0.9559963403668681,21.492247223320522,204.34064487440173,168.53213226000705,146.8736301241088,0.0,0
-10,1.0475794482770326,21.492247223320522,209.70519521758433,183.01547959992777,140.72738482092228,0.0,0
-10,1.0681922290001222,21.492247223320522,176.858064925009,168.56321733857314,154.91432022074662,0.0,0
-10,1.0031163736121815,21.492247223320522,195.19865498179453,174.6880388912121,162.98461381416266,0.0,0
-10,1.064329628104711,21.492247223320522,189.02502016525955,177.5349887817763,155.45932881133652,0.0,0
-10,1.052522680799704,21.492247223320522,206.01039299032783,166.49906670849907,146.56289849704302,0.0,0
-10,1.142511393879985,21.492247223320522,183.50302154451452,178.02172120548272,155.14370809440106,0.0,0
-10,0.987183726057242,21.492247223320522,201.9395509225831,160.6678106428736,146.1530382450658,0.0,0
-10,1.1986110071213858,21.492247223320522,204.30287655378078,195.52025273153689,162.92948913658273,0.0,0
-10,1.1708456477984575,21.492247223320522,198.6563700063266,174.66416815867092,162.746450896936,0.0,0
-10,1.2131089545489093,21.492247223320522,198.79631355574537,176.36318527036852,154.2339796094276,0.0,0
-10,1.1000800783834608,21.492247223320522,190.8582049444591,168.09036341129698,152.37228190183416,0.0,0
-10,1.1035286188403768,21.492247223320522,194.4782403212968,158.94965952558675,150.35665155674877,0.0,0
-10,1.1106763982600314,21.492247223320522,191.48453075011332,178.83514263960376,154.86794592963415,0.0,0
-10,1.1650606057857096,21.492247223320522,192.88538576216692,179.48728110370192,156.61774149085406,0.0,0
-10,1.1412513872390913,21.492247223320522,215.19690402628788,182.85131482775702,161.200201715508,0.0,0
-10,1.229639442777061,21.492247223320522,196.85944107390992,171.01394956105497,151.9534963900507,0.0,0
