snr,E,eta,a1,a2,a3,potenciaEspiao,ataquePresente
-10,1.1146177646283617,21.492247223320522,202.61307011717307,170.69877149939376,157.27285530000188,0.0,0
-10,1.212238760858786,21.492247223320522,192.31290155630893,170.61117235009644,157.88873302966252,0.0,0
-10,1.0709167006499194,21.492247223320522,190.17321778901527,176.49832061281708,145.48163671836195,0.0,0
-10,1.1036385875299088,21.492247223320522,193.56808945231495,179.92059161306383,149.06094065368256,0.0,0
-10,1.1731952540697297,21.492247223320522,192.12136123625217,176.7267941555628,162.17153726125187,0.0,0
-10,1.2208810566756023,21.492247223320522,198.49686649795328,176.6029534654212,153.64683509624152,0.0,0
-10,1.1592703053986764,21.492247223320522,210.32461464269502,171.72572010556976,157.8517546885834,0.0,0
-10,1.1280609195552112,21.492247223320522,196.77671920397955,190.6389200764481,153.7827459685451,0.0,0
-10,1.047573765067201,21.492247223320522,194.12294440552745,168.55948913539095,146.84486642942875,0.0,0
-10,1.1877454904673677,21.492247223320522,197.6849099943064,179.90268128550392,148.91511314346576,0.0,0
-10,1.1490918242264947,21.492247223320522,190.88172284765932,170.86452383977124,156.49429651866254,0.0,0
-10,1.0721588822138115,21.492247223320522,215.74021755922416,165.44352204676642,148.29649812801685,0.0,0
-10,1.0448016017986133,21.492247223320522,188.01263625979243,177.45620618789246,155.95513683223996,0.0,0
-10,1.2426419774600648,21.492247223320522,193.55020397677347,184.78950949037966,164.1733051689364,0.0,0
-10,1.144048854257068,21.492247223320522,189.24262149270652,168.59050665678305,157.41538670543346,0.0,0
-10,1.2281489792890412,21.492247223320522,197.11064984659285,169.12232333450072,164.04045268155963,0.0,0
-10,1.0069983196410215,21.492247223320522,178.87254324627463,158.33200032793565,149.9708633658835,0.0,0
-10,1.0275830777432255,21.492247223320522,188.41906201238874,168.97311564517128,158.37043147572476,0.0,0
-10,1.1191744032799327,21.492247223320522,199.41386902199383,167.3168799802218,160.21853522521133,0.0,0
-10,1.1000232293670027,21.492247223320522,202.92956553979167,169.93377598035832,146.64395723760944,0.0,0
-10,1.0293244521892022,21.492247223320522,193.39718903787968,169.7664561503144,150.4585026947415,0.0,0
-10,1.1391209731300402,21.492247223320522,196.99302152890908,179.61566049935863,145.2776845773759,0.0,0
-10,1.059994516519426,21.492247223320522,221.34793925999938,180.18609552736498,148.34181542321076,0.0,0
-10,1.0554429639947087,21.492247223320522,194.6962645924653,169.4256185641927,154.73870277365225,0.0,0
-10,1.0761024037391955,21.492247223320522,199.19175793607795,165.6662018452668,160.39013925484153,0.0,0
-10,1.1317074641615545,21.492247223320522,201.4076835433284,180.0222457503869,160.29529435956903,0.0,0
-10,1.1005311448475266,21.492247223320522,222.47697972897987,188.9229186190313,156.61169490673353,0.0,0
-10,1.0097141158548775,21.492247223320522,196.91224035836123,169.3212038287067,156.10870005998592,0.0,0
-10,0.9916648211758397,21.492247223320522,205.82532695931133,173.83467274493626,156.4944456546506,0.0,0
-10,1.1262249851783763,21.492247223320522,201.5123113265904,175.5971920394531,153.66973751142106,0.0,0
-10,1.1093569493008861,21.492247223320522,202.0430850362908,186.73324464742345,159.52008906665336,0.0,0
-10,1.0754383297204793,21.492247223320522,208.1710573015373,164.43214863645358,156.2855163903348,0.0,0
-10,1.110621687783111,21.492247223320522,197.07072590405804,177.4096898987628,153.12903284933228,0.0,0
-10,1.0910067784974995,21.492247223320522,191.53411258445152,170.97628403915994,153.5275149765424,0.0,0
-10,1.0584174569940499,21.492247223320522,200.91326862069937,175.37028350583876,160.83448785365198,0.0,0
-10,1.128726416146457,21.492247223320522,196.75030066870963,178.06522990308892,155.27405090052383,0.0,0
-10,1.169725792695016,21.492247223320522,183.84236283551027,172.94186140476313,145.11214128018182,0.0,0
-10,0.9536901458028676,21.492247223320522,201.0004431191452,165.1652713146328,156.35478718251036,0.0,0
-10,1.0905750923362463,21.492247223320522,200.21862101109554,178.38453768651425,154.43653550025837,0.0,0
-10,1.041355613071838,21.492247223320522,206.72359934941215,174.0254687086844,160.90063403071395,0.0,0
-10,1.0653329803211808,21.492247223320522,195.67635845926907,164.388235919952,150.86478570237833,0.0,0
-10,1.0962165838164515,21.492247223320522,189.2964043371686,179.98582516349907,160.47565493353918,0.0,0
-10,1.1751818074162892,21.492247223320522,217.3195401530626,175.7759304785542,156.01715357115916,0.0,0
-10,1.0303624859038445,21.492247223320522,197.05590134473002,177.07929571601892,166.03528097084978,0.0,0
-10,1.0873621065077321,21.492247223320522,186.28869690342304,162.99389811620063,145.30541993435637,0.0,0
-10,1.0814533777093802,21.492247223320522,208.91501689703654,170.97290882006627,158.40627191690353,0.0,0
-10,1.1156874394289988,21.492247223320522,188.08571319520834,172.80978231377136,163.52575505756081,0.0,0
-10,1.0210520193765464,21.492247223320522,183.26414065566183,171.13189608267078,146.62814802850812,0.0,0
-10,1.1179341872066244,21.492247223320522,199.2296274765174,173.2163183684241,158.70652937053868,0.0,0
-10,1.0787793411422646,21.492247223320522,202.57309247939557,191.0847475286744,153.66084361718885,0.0,0
-10,1.1118946704315085,21.492247223320522,196.4566272082915,189.34025110731167,141.52791576668983,0.0,0
-10,1.0076038528609061,21.492247223320522,216.27974186272652,158.92313487301277,147.6122258964706,0.0,0
-10,1.0220875497229807,21.492247223320522,211.1400606116268,177.3880199400337,168.5106959945537,0.0,0
-10,1.112659623017572,21.492247223320522,204.46339174622557,181.93419657285213,146.42203655976184,0.0,0
-10,1.08455101255535,21.492247223320522,201.20314752768473,170.94275558693874,147.23422599207072,0.0,0
-10,0.969777671067749,21.492247223320522,195.986249765806,168.29477594174892,141.42129582134802,0.0,0
-10,1.0330161125838009,21.492247223320522,199.65081516508036,175.1102778391136,150.5767321126293,0.0,0
-10,0.9997135654494493,21.492247223320522,193.415611810752,177.45642974822815,154.3091602896461,0.0,0
-10,1.0822900016764718,21.492247223320522,209.85933781324118,188.42624397991864,159.07323131687022,0.0,0
-10,1.0518252301539381,21.492247223320522,186.69575782245303,158.46894489749377,138.55324004572375,0.0,0
-10,0.9846787428806099,21.492247223320522,182.96500849468066,167.22145706638082,138.90055449990308,0.0,0
-10,1.1042733988970128,21.492247223320522,190.80428705765604,179.54744095634035,145.15053759844457,0.0,0
-10,0.9341243196466724,21.492247223320522,196.1758460383351,172.807354044463,146.2827927185044,0.0,0
-10,1.1002297355022108,21.492247223320522,192.28109839099764,178.30934532014732,152.04032544940318,0.0,0
-10,1.1363674883027333,21.492247223320522,199.49566959414585,175.05159283523614,162.00405182430154,0.0,0
-10,1.1806410709002466,21.492247223320522,195.1317122741749,181.75686176213412,154.69691383063417,0.0,0
-10,1.1900760908491932,21.492247223320522,215.3683392583676,183.098950468567,156.28650486918838,0.0,0
-10,1.0010200535089444,21.492247223320522,197.23871325235874,166.96586746967037,154.7247873309512,0.0,0
-10,0.9837758414965219,21.492247223320522,222.73294621211065,189.60047730837007,163.93374503088498,0.0,0
-10,1.2157689858040794,21.492247223320522,218.71413451433358,184.04927943889302,160.31042802500593,0.0,0
-10,1.1095143806052885,21.492247223320522,194.26814828062584,170.65317648738423,159.46714444939587,0.0,0
-10,1.0643238180461434,21.492247223320522,206.82134197276247,164.26444808906695,144.86877263895923,0.0,0
-10,1.2163123755586258,21.492247223320522,221.90981515979442,179.60143459279357,156.8385454151774,0.0,0
-10,1.1179799607156649,21.492247223320522,187.4135451917387,171.83656097180375,148.02567428691444,0.0,0
-10,1.0272101663244213,21.492247223320522,205.24223619664068,168.5015394082535,152.84338269077645,0.0,0
-10,1.1133777663473068,21.492247223320522,195.9328579781142,165.70480920638855,158.91551594468848,0.0,0
-10,1.1699586809347573,21.492247223320522,205.24593988282788,169.80408846001777,157.46712173972293,0.0,0
-10,1.0719732341235237,21.492247223320522,190.24478062375294,170.5406277387989,152.05373786424192,0.0,0
-10,1.184193880367804,21.492247223320522,201.15717006963914,184.69283533463272,169.2105463390852,0.0,0
-10,1.06386512702835,21.492247223320522,222.01764538067522,168.9459800920519,159.28492836179808,0.0,0
-10,1.0782714577988561,21.492247223320522,198.23675098740955,183.8460252764891,160.2338338452301,0.0,0
-10,0.9144925439571292,21.492247223320522,183.94375843728176,174.32375809950338,140.86828475278125,0.0,0
-10,1.1163729114549992,21.492247223320522,199.45543239838597,170.71921867886968,155.71204761024393,0.0,0
-10,1.1104677617477625,21.492247223320522,181.06975693448754,174.66539884715007,153.74776562833077,0.0,0
-10,0.9840950501597479,21.492247223320522,202.21005495876562,186.206069024526,150.79813456825883,0.0,0
-10,1.0218057134694511,21.492247223320522,208.0113588805961,174.33398584635907,159.61884237416592,0.0,0
-10,1.0702058632611173,21.492247223320522,188.2088901307582,166.362859550142,155.81693485774588,0.0,0
-10,1.0962763549701466,21.492247223320522,182.04407919957634,176.3239888703412,147.27733606775425,0.0,0
-10,1.0340180137245827,21.492247223320522,206.31226372263572,166.367263235911,157.6930231944387,0.0,0
-10,1.1621232001390998,21.492247223320522,218.61827161054498,188.27935180082957,171.05793291378288,0.0,0
-10,1.1407879760961266,21.492247223320522,195.3934680145847,158.9766964009022,146.51462763541772,0.0,0
-10,1.0345562311131833,21.492247223320522,192.0791725299316,178.9485295385715,144.74597197194862,0.0,0
-10,1.1057706652840449,21.492247223320522,186.13338397134424,178.81847373590287,148.26884719078748,0.0,0
-10,1.138592940356355,21.492247223320522,187.1966772103381,177.8127557086527,152.44506903756422,0.0,0
-10,1.0496341859239557,21.492247223320522,189.08995482944016,175.34673938710705,152.95377077042582,0.0,0
-10,1.052323210183192,21.492247223320522,207.37549881633694,173.41540179610726,151.44577347632034,0.0,0
-10,1.1427268638507366,21.492247223320522,209.0435638686576,170.9851402490912,153.4846016925288,0.0,0
-10,1.1112647370536544,21.492247223320522,192.06294857659873,182.04356141989948,158.0814663275858,0.0,0
-10,1.0429979989823621,21.492247223320522,201.6207800222213,171.91255137446282,151.97038269567201,0.0,0
-10,1.0861946650037675,21.492247223320522,164.7370368059501,160.22983612596445,144.19314733495654,0.0,0
-10,1.0362992445272718,21.492247223320522,195.08336917120303,168.19430642669792,155.2217560801121,0.0,0
-10,1.1476723275928271,21.492247223320522,211.49392135516985,168.0825267693044,145.08022356122908,0.0,0
-10,1.0029171996960755,21.492247223320522,209.99630325916303,175.9665144866924,145.82779770488128,0.0,0
-10,1.239842181037902,21.492247223320522,211.25789019549796,189.0022088038392,157.47560307430305,0.0,0
-10,1.1295479646151971,21.492247223320522,195.8283534977361,180.756086662915,161.00357789812108,0.0,0
-10,1.07243137465387,21.492247223320522,186.85266016835118,170.61734183979402,158.72536079112405,0.0,0
-10,1.1167660614319317,21.492247223320522,209.03879634587489,167.32625589865066,143.49231349174332,0.0,0
-10,0.9730441135372818,21.492247223320522,186.35202718499818,155.98942961907787,141.1196975457685,0.0,0
-10,1.120945333706261,21.492247223320522,190.63145867260312,175.182233927999,151.02894378294997,0.0,0
-10,1.0759597261496912,21.492247223320522,197.03078170326106,168.5758119454196,149.2144954882816,0.0,0
-10,1.0917881754390402,21.492247223320522,215.43469207231047,180.73351822664304,152.6474890506532,0.0,0
-10,1.0383419455833884,21.492247223320522,193.45908069815613,158.04372961603158,146.30573394546326,0.0,0
-10,0.9539819987814127,21.492247223320522,202.58954493013002,176.55362616592447,150.47717147726436,0.0,0
-10,1.161386307280949,21.492247223320522,174.95775926199556,167.3457710977178,153.77473013630285,0.0,0
-10,1.1215308202628598,21.492247223320522,216.39356467056487,184.0648789566088,145.04859714935415,0.0,0
-10,1.2241055634938496,21.492247223320522,190.44656322414352,170.68299311735265,163.78736316669617,0.0,0
-10,1.0959840780720242,21.492247223320522,210.89655088011625,183.87837193322127,161.2614992261476,0.0,0
-10,1.1192550912200439,21.492247223320522,218.31426023829798,175.62509920415067,153.11478160242993,0.0,0
-10,1.0765671106157129,21.492247223320522,202.4326340306584,167.60942396852562,144.5845859679798,0.0,0
-10,1.0812968764125166,21.492247223320522,206.1895338680069,174.9216822858704,151.6635781126386,0.0,0
-10,1.041829461624373,21.492247223320522,210.02972649143896,164.71499831971238,137.30476157711524,0.0,0
-10,1.109792038183011,21.492247223320522,195.5703757152125,165.9567810474567,156.12582229110228,0.0,0
-10,1.101967098279331,21.492247223320522,200.185240157295,172.2040358265069,145.4089546669938,0.0,0
-10,1.124005077831536,21.492247223320522,216.43299732254513,184.02345224729808,165.67021606834217,0.0,0
-10,1.1837061717336532,21.492247223320522,199.28356100289352,171.75455862284366,155.37019465867237,0.0,0
-10,1.0988293029889409,21.492247223320522,200.4580551110651,159.31214582689284,151.06061323485383,0.0,0
-10,1.1322332219735554,21.492247223320522,203.33461027177356,170.89586490135207,155.467902106538,0.0,0
-10,1.059756409111305,21.492247223320522,209.691342451443,178.42174084354576,152.7041006432802,0.0,0
-10,0.9199217543423904,21.492247223320522,210.58528576320987,174.4418107151027,147.96394490798474,0.0,0
-10,1.159271543583432,21.492247223320522,185.06630349977553,168.25715918173583,146.1744871729185,0.0,0
-10,1.0248617680129533,21.492247223320522,198.9712649997201,172.54745493771807,159.2376033359937,0.0,0
-10,1.019689510057867,21.492247223320522,198.23338415548886,176.50787316039097,153.35957448784237,0.0,0
-10,1.00884153778657,21.492247223320522,209.82362265791565,174.22488848947742,155.2790218427074,0.0,0
-10,1.111820870939484,21.492247223320522,197.7863249289251,177.31872908318195,149.54380082179767,0.0,0
-10,1.1771943474090933,21.492247223320522,202.0047421776265,177.88649204929834,153.20430185415526,0.0,0
-10,1.0858498908835532,21.492247223320522,196.08880004858992,170.4919427119449,155.1648648570564,0.0,0
-10,1.0352181201875088,21.492247223320522,196.11059546624168,158.27397807215644,151.30421044066466,0.0,0
-10,1.0363738322937577,21.492247223320522,182.05966104725047,161.10418960836236,136.96631714976166,0.0,0
-10,1.0726649804529171,21.492247223320522,198.62358524929257,196.29112109595388,144.93007212593886,0.0,0
-10,1.142924967008796,21.492247223320522,195.88748412293398,170.72106827574962,151.24710795450832,0.0,0
-10,1.223522630858409,21.492247223320522,188.03841725178344,170.00365506542192,149.5978126612809,0.0,0
-10,1.0272821861323267,21.492247223320522,200.84008148060818,181.18247477133102,155.11376277549797,0.0,0
-10,1.0630431640618314,21.492247223320522,212.0023199153873,183.046561977218,151.1289039174614,0.0,0
-10,1.0121014269788564,21.492247223320522,186.45533711356546,168.4732042780266,152.43495681685656,0.0,0
