snr,E,eta,a1,a2,a3,potenciaEspiao,ataquePresente
-10.0,1.0354686409399294,6.474328552744851,145.8359901175181,47.55530402433565,41.690305049382985,0.0,0
-10.0,0.7381011351959044,6.474328552744851,103.43560798013061,44.18747716232771,41.79317582568467,0.0,0
-10.0,1.0295962703922128,6.474328552744851,139.24147845504996,43.927752733636986,39.90248531674649,0.0,0
-10.0,1.0480203510729131,6.474328552744851,146.52136113056233,43.377139576325916,40.473665528010216,0.0,0
-10.0,1.2192339586053766,6.474328552744851,167.02558124835517,44.85947469929589,41.34899136824359,0.0,0
-10.0,1.2809327020890053,6.474328552744851,174.82532465820822,43.62187368177246,39.12537671124323,0.0,0
-10.0,0.9392410658815172,6.474328552744851,133.21892494327332,45.60403303830665,39.857146196091364,0.0,0
-10.0,0.9093108451590448,6.474328552744851,126.74793004124895,47.15544187335132,40.83535030754871,0.0,0
-10.0,1.2534737843262749,6.474328552744851,169.22515354272403,44.548914138736535,41.22816792710449,0.0,0
-10.0,1.2634568792896665,6.474328552744851,172.0808829368429,46.71477527710171,40.53242412910621,0.0,0
-10.0,1.2975376849627671,6.474328552744851,178.72815596729993,45.946140432172626,42.62625477206948,0.0,0
-10.0,0.9384667459123527,6.474328552744851,131.70252249253167,44.322883513071396,40.54276278641021,0.0,0
-10.0,0.8519070742340187,6.474328552744851,122.49337636577856,41.865639111339426,40.20660182784255,0.0,0
-10.0,0.8814674394221544,6.474328552744851,121.17631507909479,45.329608418669,42.48429020998841,0.0,0
-10.0,1.2810439189449412,6.474328552744851,172.22061286657097,45.81536609084408,41.39514208985821,0.0,0
-10.0,0.9254496299506011,6.474328552744851,131.20650351585965,43.56248431002897,40.71220435372794,0.0,0
-10.0,0.965024564309872,6.474328552744851,135.81217347902538,41.779772849043624,40.66594513036684,0.0,0
-10.0,0.8442555063623515,6.474328552744851,118.76613814822976,44.226174678541426,42.57857118581907,0.0,0
-10.0,1.0030610223587586,6.474328552744851,140.3406297681504,43.96185262612793,42.63500555913827,0.0,0
-10.0,1.1028448842479706,6.474328552744851,148.86492906214005,45.33007435160298,40.37641171659043,0.0,0
-10.0,1.1502442670905346,6.474328552744851,160.59869678691385,47.827415346482674,42.76373320781449,0.0,0
-10.0,1.066150414677642,6.474328552744851,147.86361441584427,43.51958575248119,38.87931482392108,0.0,0
-10.0,0.9625292289996866,6.474328552744851,136.56829546674322,47.297856382682326,41.261141500373384,0.0,0
-10.0,1.0897509329945612,6.474328552744851,147.63077030842499,44.97930773050941,40.9917488747504,0.0,0
-10.0,1.1328735842768967,6.474328552744851,157.0934356988317,43.9480717694514,42.12605565431407,0.0,0
