classificador,media_accuracy,desvio_accuracy,media_tempo,desvio_tempo,melhor_modelo
RF,0.9997058823529412,0.0002630668208823372,0.13696303367614746,0.048001056103757926,"RandomForestClassifier(max_features='sqrt', min_samples_split=4,
                       n_estimators=50)"
LDA,0.8979411764705881,0.003757345746510907,0.0019526004791259766,0.0016497366122920753,LinearDiscriminantAnalysis(tol=1e-05)
QDA,0.9950588235294117,0.0006550311015094208,0.0035558223724365236,0.003251279920056544,QuadraticDiscriminantAnalysis(tol=1e-06)
Perceptron,0.9966470588235292,0.0018092419410858517,0.007531642913818359,0.012724637138696314,"Perceptron(penalty='l2', tol=0.01)"
SGD,0.999764705882353,0.0002200974933396452,0.0011622905731201172,6.0863551657138254e-05,"SGDClassifier(loss='modified_huber', tol=0.0001)"
SVM,0.999764705882353,0.0002200974933396452,0.007303857803344726,0.006504270438978004,"SVC(C=0.1, decision_function_shape='ovo', kernel='linear')"
KNN,0.9997058823529412,0.000322189739708912,1.2415080547332764,0.11399797711488384,"KNeighborsClassifier(metric='euclidean', n_neighbors=7)"
MLP,0.9995882352941177,0.0002999423243289889,0.011229467391967774,0.007145504125669305,"MLPClassifier(activation='tanh', hidden_layer_sizes=10,
              learning_rate='adaptive')"
