classificador,media_f1,desvio_f1,media_tempo,desvio_tempo,melhor_modelo
RF,0.9997058996387151,0.00018601634421410777,0.025356292724609375,0.008985463488689616,"RandomForestClassifier(criterion='entropy', max_features='sqrt',
                       min_samples_leaf=2, min_samples_split=6,
                       n_estimators=10)"
LDA,0.8863792813252843,0.006251316693570915,0.006610107421875,0.00403545042922181,LinearDiscriminantAnalysis(tol=1e-05)
QDA,0.9951993703558732,0.0006281418114809642,0.004860925674438477,0.00103613994955932,QuadraticDiscriminantAnalysis(tol=1e-06)
Perceptron,0.9825613096545919,0.012234580377030499,0.0037003517150878905,0.0002542203366267998,"Perceptron(alpha=0.01, penalty='l1', tol=0.01)"
SGD,0.9997647404640778,0.00011762978704590335,0.0035799503326416015,0.00015856162711215242,"SGDClassifier(alpha=1e-05, penalty='elasticnet', tol=0.01)"
SVM,0.9996470588133523,0.0002200974974195557,0.010036563873291016,0.005518806073575035,"SVC(C=0.01, decision_function_shape='ovo', kernel='linear')"
KNN,0.9997058650366359,0.0001860163442160009,0.5762840747833252,0.09464412692167021,"KNeighborsClassifier(metric='euclidean', n_neighbors=7)"
MLP,0.9995293078668388,0.00014424313000843998,0.0024194717407226562,0.00010260190574243081,"MLPClassifier(hidden_layer_sizes=10, learning_rate='adaptive')"
