classificador,media_accuracy,desvio_accuracy,media_tempo,desvio_tempo,melhor_modelo
RF,0.9541176470588235,0.003016677977637187,0.08807477951049805,0.08433362367408113,"RandomForestClassifier(criterion='entropy', max_features='sqrt',
                       min_samples_leaf=2, min_samples_split=6,
                       n_estimators=50)"
LDA,0.8924705882352942,0.006410415400388379,0.006935214996337891,0.01120006211047065,LinearDiscriminantAnalysis(tol=1e-05)
QDA,0.9269411764705883,0.0027439773622801524,0.008726263046264648,0.0042809874807481114,QuadraticDiscriminantAnalysis(tol=1e-06)
Perceptron,0.926235294117647,0.00743925806472885,0.005957841873168945,0.0061809949212695055,"Perceptron(alpha=1e-05, penalty='none', tol=0.01)"
SGD,0.950294117647059,0.0032698687316911144,0.0012205123901367187,7.9590021238173e-05,"SGDClassifier(alpha=1e-05, loss='perceptron', penalty='l1', tol=0.01)"
SVM,0.9488235294117647,0.002543735095345841,0.6048146724700928,0.11490018112544995,"SVC(C=1, decision_function_shape='ovo', kernel='linear')"
KNN,0.9156470588235294,0.0037175353669000057,1.2740232467651367,0.08246500646681568,"KNeighborsClassifier(metric='manhattan', n_neighbors=7)"
MLP,0.9552352941176471,0.0025053575810643418,0.01575469970703125,0.004737745492935724,"MLPClassifier(activation='tanh', hidden_layer_sizes=10)"
