classificador,media_f1,desvio_f1,media_tempo,desvio_tempo,melhor_modelo
RF,0.9538454711478032,0.003856076667096006,0.05423207283020019,0.003693916120024903,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=3, min_samples_split=4,
                       n_estimators=50)"
LDA,0.8818034752352805,0.005879515751670822,0.016307640075683593,0.005047071980519481,LinearDiscriminantAnalysis(tol=1e-05)
QDA,0.9238748551498714,0.005535142567070065,0.005821371078491211,0.0033540264378103726,QuadraticDiscriminantAnalysis(tol=1e-06)
Perceptron,0.9263458594726985,0.010253876454533652,0.005129575729370117,0.0033028601891030756,"Perceptron(penalty='l1', tol=0.01)"
SGD,0.950370687854039,0.0049202185572967015,0.0033637046813964843,0.00012379987513758692,"SGDClassifier(alpha=1e-05, penalty='none', tol=0.0001)"
SVM,0.9478699590742741,0.004023262138937729,0.5787885189056396,0.037129060727784206,"SVC(C=1, decision_function_shape='ovo', kernel='linear')"
KNN,0.9114493566861492,0.006755067864695625,1.2013219356536866,0.1227721350825727,"KNeighborsClassifier(metric='manhattan', n_neighbors=7)"
MLP,0.9543654241730198,0.004285781294999606,0.019053077697753905,0.01100930851737788,"MLPClassifier(activation='tanh', hidden_layer_sizes=10,
              learning_rate='adaptive')"
